nom,type,address,cp,ville,region,telephone,email,site,desc
HALTEROPHILIE PONTISSALIENNE,Haltérophilie,,25300,GRANGES NARBOZ,Bourgogne-Franche-Comté,0676972139,contact@halteropontissalienne.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
HAWKS DE LONS LE SAUNIER,Football Américain,Base nautique de Bellecin,39270,ORGELET,Bourgogne-Franche-Comté,,539@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
HC GRAND COMBIEN,Haltérophilie,,30110,LA GRAND-COMBE,Occitanie,0682330251,gerard.wilczewski@orange.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
HC PIERRELATTE,Haltérophilie,,26700,PIERRELATTE,Auvergne-Rhône-Alpes,0475042312,jean.claude.boyer8@wanadoo.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
HC SAVENAY,Hockey sur Gazon,,44260,SAVENAY,Pays de la Loire,,hockeyclubdesavenay@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
HIGHLANDERS,Football Américain,Plaine de SOBA 46 rue d'archette,88000,EPINAL,Grand Est,,532@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
HIP HOP ART,Danse,5 rue Saint Just,93210,SAINT DENIS,Île-de-France,0652887987,hip-hop-art@hotmail.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
HOCKEY CLUB AUCH,Hockey sur Gazon,,32000,AUCH,Occitanie,,hockey.club.auch@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
HOCKEY CLUB DE DUNKERQUE MALO,Hockey sur Gazon,,59240,DUNKERQUE,Hauts-de-France,,hcdm59@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
HOCKEY CLUB DE LA POSSESSION,Hockey sur Gazon,,97419,LA POSSESSION,La Réunion ,,hcpossessionreunion@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
HOCKEY CLUB DE SEGRE,Hockey sur Gazon,,49500,SEGRE,Pays de la Loire,,manue49.dupuis@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
HOCKEY CLUB DES 2 CAPS,Hockey sur Gazon,,62250,SAINT INGLEVERT,Hauts-de-France,,Hockeyclubdeuxcaps@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
HOCKEY CLUB DU TREFLE,Hockey sur Gazon,,91640,FONTENAY LES BRIIS,Île-de-France,,contact@hctrefle.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
HOCKEY CLUB FOREZIEN,Hockey sur Gazon,,42600,MONTBRISON,Auvergne-Rhône-Alpes,,hcforezien@yahoo.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
HOCKEY CLUB GRENOBLE,Hockey sur Gazon,,38000,GRENOBLE,Auvergne-Rhône-Alpes,,grenoble.hockey@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
HOCKEY CLUB GUILHERAND-GRANGES GRIZZLIES,Hockey sur Gazon,,07500,GUILHERAND GRANGES,Auvergne-Rhône-Alpes,,hockey.club.grizzlies07@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
HOCKEY CLUB STÉPHANOIS SUR GAZON,Hockey sur Gazon,,42000,ST ETIENNE,Auvergne-Rhône-Alpes,,hcstephanois@yahoo.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
HOCKEY SPORTING CLUB DE SAINT MAUR DES FOSSES,Hockey sur Gazon,,94100,SAINT MAUR DES FOSSES,Île-de-France,,president@hscsm.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
HOCKEY SUR GAZON DIJON,Hockey sur Gazon,,21000,DIJON,Bourgogne-Franche-Comté,,hockey.dijon@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
HORIZON MINI GOLF,Mini-golf,,97311 ,ROURA,Guyane,,contact@les-challenges-bn.fr,,Réservation obligatoire par mail à contact@les-challenges-bn.fr. Une partie pour une personne offerte sur remise de votre pass (2 maximum par famille ou groupe). Offre non cumulable pour une même personne. A partir de 6 ans.
HYBRID ATHLETICS,Haltérophilie,,07130,SAINT-PÉRAY,Auvergne-Rhône-Alpes,0760260318,hybridathletics07@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
IRIS HOCKEY LAMBERSART,Hockey sur Gazon,,59130,LAMBERSART,Hauts-de-France,,hockey@ihlambersart.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
JEU DE PISTE SUR LE THÈME DE LA POMME À BEURIÈRES,Jeu de piste ludique,,63220,BEURIÈRES,Auvergne-Rhône-Alpes,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
JEUX TRADITIONNELS DE PAYS ,Palet breton,,35160,MONTFORT-SUR-MEU,Bretagne,0689633653,jeuxtrraditionnelsdepays@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 11 ans.
JSC VOLLEY,Volley-Ball,42 rue de vienne,72190,COULAINES,Pays de la Loire,0674029304,,https://jsc-volley.clubeo.com/,"Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. Séance du mercredi pour les majeurs, le samedi pour les jeunes. A partir de 8 ans."
KANGOUROUS,Flag Football,Stade Romainville,33600,PESSAC,Nouvelle-Aquitaine,,055@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
KARUKERA FIGHTING SYSTEM,Boxe Française,,97190,LE GOSIER,	Guadeloupe,0690418883,kanael.hereson@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
KUMA SAN DOJO,Arts martiaux,,82230,MONCLAR-DE-QUERCY,Occitanie,0611722924,kumasandojo@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 10 ans.
LA DAME DE FER - AUTOUR DE LA TOUR EIFFEL,Jeu de piste ludique,,75000,PARIS,Île-de-France,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
LA FLECHE HOCKEY CLUB,Hockey sur Gazon,,72200,FLECHE,Pays de la Loire,,laflechehockeyclub@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
LA NORVILLE AIKIBUDO,Aikibudo,Salle Louis Namy / Av. Anatole France,91290,LA NORVILLE ,Île-de-France,,benjaminpiau@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
LA SAVATE VALAYSIENNE,Boxe Française,,70140,VALAY,Bourgogne-Franche-Comté,,claude70140@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
LANGROEZ ARC,Tir à l'arc,,56250,LA VRAIE-CROIX,Bretagne,,contact.langroezarc@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
L'AS DU RING LINSELLES,Boxe Française,,59126,LINSELLES,Hauts-de-France,,lasduring.linselles@gmail.com,https://ameliebentara.wixsite.com/lasduring,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
LASER GAME EVOLUTION,Laser Game,28 rue de Cracovie,21850,SAINT APOLLINAIRE,Bourgogne-Franche-Comté,0380235573,,https://dijon.lasergame-evolution.fr,Réservation obligatoire. Une partie pour une personne offerte sur remise de votre pass. Offre non cumulable pour une même personne. Deux pass (un adulte et un enfant) maximum par groupe. A partir de 8 ans.
LE CARQUOIS D'ARGENT,Tir à l'arc,,02000,LAON,Hauts-de-France,,f.vandepontseele@lecarquoisdargent.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
LE GINGKO AIKIDO CLUB,Aikido,68 Chemin Des Gonnardieres - Complexe Sportif,38560,CHAMP SUR DRAC ,Auvergne-Rhône-Alpes,,patstef@orange.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
LE MASQUE DE FER DE LYON,Escrime,41 rue Crillon,69006,LYON,Auvergne-Rhône-Alpes,0658612281,presidence@masquedefer.com,http://www.masquedefer.com,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans. Le matériel est prêté pour les séances dans la mesure des tailles disponibles. Séances accessibles à un public en fauteuil (matériel adapté à cette pratique). Le club est ouvert toute la semaine ainsi que le Samedi matin de 10h30- 13h00. Fermeture durant les vacances scolaires.
LE MINOTAURE,Cheerleading,Stade de la Musau,67100,STRASBOURG,Grand Est,,151@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
LE VOLANT HAGETMAUTIEN,Badminton,,40700 ,HAGETMAU,Nouvelle-Aquitaine,,petjogi@yahoo.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
LES AIGLES ROUGES,Flag Football,Stade Lafayette,06340,TRINITE,Provence-Alpes-Côte d'Azur,,621@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
LES ARCHERS BRIENNOIS,Tir à l'arc,,10500,BRIENNE-LE-CHÂTEAU,Grand Est,,lesarchersbriennois@orange.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
LES ARCHERS CHEVIGNOIS,Tir à l'arc,,21600,LONGVIC,Bourgogne-Franche-Comté,,lesarcherschevignois@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
LES ARCHERS DE CORBAS,Tir à l'arc,,69960,CORBAS,Auvergne-Rhône-Alpes,,archerscorbas@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
LES ARCHERS DES ECRINS,Tir à l'arc,,05120,L'ARGENTIÈRE-LA-BESSÉE,Provence-Alpes-Côte d'Azur,,lesarchersdesecrins@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
LES ARCHERS DU GRAND JARDIN,Tir à l'arc,,83230,BORMES-LES-MIMOSAS,Provence-Alpes-Côte d'Azur,,lesarchersdugrandjardin@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
LES ARCHERS DU MARAIS,Tir à l'arc,,50500,AUVERS,Normandie,,archers-du-marais@hotmail.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
LES ARCHERS DU MONT BLANC,Tir à l'arc,,74190,PASSY,Auvergne-Rhône-Alpes,,archersdumontblanc@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
LES ARCHERS DU VESINET-CHATOU,Tir à l'arc,,78400,CHATOU,Île-de-France,,direction@archersduvesinetchatou.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
LES ARCHERS FLORENTAIS,Tir à l'arc,,49410,MAUGES-SUR-LOIRE,Pays de la Loire,,archersflorentais@outlook.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
LES ARCHERS PIRIACAIS,Tir à l'arc,,44420,MESQUER,Pays de la Loire,,les.archers.piriacais@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
LES FLÈCHES DE L'ORB,Tir à l'arc,,34370,CAZOULS-LES-BEZIERS,Occitanie,0609613967,lesflechesdelorb@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
LES FLECHES DE SAINT BARTHELEMY,Tir à l'arc,,97133,ST BARTHELEMY,	Guadeloupe,,lesflechessbh@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
LES FOUS DU VOLANT DE L'ONDAINE,Badminton,,42500,LE CHAMBON-FEUGEROLLES,Auvergne-Rhône-Alpes,0698117790,Fvo42@outlook.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
LES GRIZZLYS CATALANS,Flag Football,Parc des sports Alain Mimoun,66000,PERPIGNAN,Occitanie,,493@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
LES MARSHALS DE MACON,Football Américain,Complexe Sportif Jules Revillon,71000,FLACE,Bourgogne-Franche-Comté,,552@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
LES PEAUX ROUGES DE MIOS,Football Américain,Stade Paulon,33380,MIOS,Nouvelle-Aquitaine,,502@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
LES SHARKS,Football Américain,Stade des Baumes,26000,VALENCE,Auvergne-Rhône-Alpes,,256@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
LES SPECTRES DE SENS,Flag Football,Terrain Spectres rue René Binet,89100,SENS,Bourgogne-Franche-Comté,,640@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
LES TRICOLORES DE LOCHRIST,Boxe Française,,56650,INZINZAC-LOCHRIST,Bretagne,,savate.lochrist@yahoo.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
LIBERATEURS,Flag Football,Stade de la Mittelhart,68000,COLMAR,Grand Est,,336@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
LICORNES,Flag Football,Complexe de Steredenn,22440,PLOUFRAGAN,Bretagne,,260@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
LILLE METROPOLE HOCKEY CLUB,Hockey sur Gazon,,59000,LILLE,Hauts-de-France,,lillehc@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
LIONS DE CARVIN,Football Américain,Terrain du Lep,62220,CARVIN,Hauts-de-France,,345@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
LOISIR OISON BADMINTON,Badminton,,27370 ,LA SAUSSAYE,Normandie,,didierfreal@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
LONGUENESSE BADMINTON,Badminton,,62500,SAINT MARTIN LES TATINGHEM,Hauts-de-France,,longuenessebad@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
LYCANS,Cheerleading,Stade Léo Lagrange,78130,LES MUREAUX,Île-de-France,,316@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
MADELEINE SPORTS ET DÉTENTE CHARTRES,Hockey sur Gazon,,28000,CHARTRES,Centre-Val de Loire,,lucien.levier@wanadoo.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
MAGIDOJO 48 AIKIDO MONTMAGNY,Aikido,Gymnase Charles Grimaud,95360,MONTMAGNY,Île-de-France,,magidojo5@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
MAGNY BADMINTON,Badminton,,78114 ,MAGNY LE HAMEAU,Île-de-France,,zinfos@magnybadminton.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
MAISONS-LAFFITTE HOCKEY CLUB,Hockey sur Gazon,,78600,MAISONS-LAFFITTE,Île-de-France,,mlhockeyclub@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
MARINERS,Cheerleading,Stade du Foso,56000,VANNES,Bretagne,,295@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
MARSEILLE ESCRIME CLUB,Escrime,33A rue Crillon,13005,MARSILLE,Provence-Alpes-Côte d'Azur,0491255556,contact@marseille-escrime.com,http://www.marseille-escrime.com,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
"MARTIGUES, LA CÔTE BLEUE",Jeu de piste ludique,,13500,MARTIGUES,Provence-Alpes-Côte d'Azur,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
MER HOCKEY CLUB,Hockey sur Gazon,,41500,MER,Centre-Val de Loire,,merhockeyclub@yahoo.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
MFA HURRICANES,Flag Football,Stade de Sabathe,34070,MONTPELLIER,Occitanie,,218@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
MILLAS BOXE,Boxe Française,,66170,MILLAS,Occitanie,0626999764,jeanpierreguillemet66@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
MINI GOLF DE CHELLES,Mini-golf,Parc du Vieux Moulin,77500,CHELLES,Île-de-France,0619597227,,,"Une partie pour une personne offerte sur remise de votre pass. 2 pass maximum par groupe. Fermé en temps de forte pluie ou de canicule. A partir de 6 ans.Ouvert le mercredi, samedi, dimanche de 13h à 19h en période scolaire. Du lundi au dimanche en période de vacances scolaires."
MINI RANDONNÉE EN FAMILLE À SÉDERON,Jeu de piste ludique,,26560,SÉDERON,Auvergne-Rhône-Alpes,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
MONTIVILLIERS ESCRIME,Escrime,,76290,MONTIVILLIERS,Normandie,0678470723,montivilliersescrime@gmail.com,https://www.montivilliers-escrime.com/,Réservation obligatoire. Une séance offerte sur remise du pass. Fermeture durant les vacances scolaires. Tenue de sport et chaussures de sports intérieurs obligatoires. Offre non cumulable pour une même personne. A partir de 5 ans.
MOUSQUETAIRES,Football Américain,Stade des Bruyeres,92290,CHATENAY-MALABRY,Île-de-France,,011@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
MUSCULATION ET FORME DE BERTHECOURT,Haltérophilie,,60370,BERTHECOURT,Hauts-de-France,0612332932,mfberthecourt@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
NICE HOCKEY CLUB GAZON ET SALLE,Hockey sur Gazon,,06200,NICE,Hauts-de-France,,secretariat.nhcgs@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
OLEMPS BADMINTON CLUB,Badminton,,12000 ,OLEMPS,Occitanie,,bad.olemps@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
"ORAISON, LAC DES BUISSONNADES",Jeu de piste ludique,,04700,ORAISON,Provence-Alpes-Côte d'Azur,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
PAGAIES EN SEINE,Canoe Kayak,,76240,BELBEUF,Normandie,0235232615,contact@pagaiesenseine.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans. Impératif de savoir nager 25 mètres.
PARIS JEAN BOUIN CLUB ATHLETIQUE SPORTS GENERAUX,Hockey sur Gazon,,75016,PARIS,Île-de-France,,inscription.hockey@parisjeanbouin.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
PATRIOTES,Football Américain,Stade du Waldeck,68400,RIEDISHEIM,Grand Est,,184@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
PENDRAGONS,Football Américain,Complexe sportif,95570,ATTAINVILLE,Île-de-France,,268@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
PHOENIX BOXE MARSEILLE,Boxe Française,,13000,MARSEILLE,Provence-Alpes-Côte d'Azur,,melabraoui@yahoo.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
PINS-JUSTARET VILLATE TENNIS DE TABLE ,Tennis de Table,,31860,PINS-JUSTARET,Occitanie,0786236872,Claude.boscher31@orange.fr ,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 5 ans.
PIRATES,Football Américain,Complexe Sportif Charles Lefebvre,76370,ROUXMESNIL-BOUTEILLES,Normandie,,327@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
PLURIEN AK DEVELOPPEMENT,Aikido,25 Rue Des Rochettes,22430,ERQUY  ,Bretagne,,thierryriedinger.aiki22@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
PORNICHET AIKIDO CLUB,Aikido,"9, Avenue Des Loriettes",44380,PORNICHET ,Pays de la Loire,,pornichet.aikido.club@free.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
POSEIDONS FOOTBALL AMERICAIN,Football Américain,Stade de Monbeton,03300,CUSSET,Auvergne-Rhône-Alpes,,629@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
PROMENADE LUDIQUE FAMILIAL À LA CROIX-SAINT-LEUFROY,Jeu de piste ludique,,27490,LA CROIX-SAINT-LEUFROY,Normandie,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
PROMENADE LUDIQUE FAMILIAL À SAINT-PIERRE-DE-BAILLEUL,Jeu de piste ludique,,27920,SAINT-PIERRE-DE-BAILLEUL,Normandie,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
PROMENADE LUDIQUE SUR UN ESPACE NATUREL SENSIBLE,Jeu de piste ludique,,60128,LA PIERRE MONCONSEIL,Hauts-de-France,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
RACING CLUB DE FRANCE HOCKEY SUR GAZON,Hockey sur Gazon,,78000,VERSAILLES,Île-de-France,,rcfhockey92@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
